File Name,Reference,Verse
0-11.pn.jpg," ಕುವೆಂಪು
","ಪುಸ್ತಕವು ಜೀವನದ ಒಂದು ದೀಪ, ಅದನ್ನು ಬೆಳಗಿಸಿದರೆ ಜ್ಞಾನದ ಬೆಳಕು ನಿಮ್ಮ ಮನೆಯನ್ನು ತುಂಬುತ್ತದೆ. "
1-3.pn.jpg," ಶಿವರಾಮ ಕಾರಂತ
","ಒಳ್ಳೆಯ ಪುಸ್ತಕವು ಒಳ್ಳೆಯ ಸ್ನೇಹಿತನಂತೆ, ನಿಮ್ಮ ದುಃಖವನ್ನು ಹಂಚಿಕೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನಿಮ್ಮ ಸಂತೋಷವನ್ನು ದ್ವಿಗುಣಗೊಳಿಸುತ್ತದೆ. "
2-16.pn.jpg," ದ. ರಾ. ಬೇಂದ್ರೆ
","ಪುಸ್ತಕಗಳು ಓದುವುದನ್ನು ಒಂದು ಚಟವನ್ನಾಗಿ ಮಾಡಿಕೊಳ್ಳಿ, ಅದು ನಿಮ್ಮ ಜೀವನವನ್ನು ಒಂದು ಉತ್ಸವವನ್ನಾಗಿ ಮಾಡುತ್ತದೆ. "
3-2.pn.jpg," ಗಿರೀಶ್ ಕಾರ್ನಾಡ್
",ಪುಸ್ತಕಗಳು ಜೀವನದುದ್ದಕ್ಕೂ ನಿಮ್ಮೊಂದಿಗೆ ಇರುವ ನಿಧಿಗಳಾಗಿವೆ. 
4-4.pn.jpg," ಚಂದ್ರಶೇಖರ ಕಂಬಾರ
","ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದು ಒಂದು ಅದ್ಭುತವಾದ ಅನುಭವ, ಅದನ್ನು ಪ್ರತಿಯೊಬ್ಬರೂ ಅನುಭವಿಸಬೇಕು. "
5-18.pn.jpg," ಸಾರಾ ಅಬೂಬಕರ್‌
","ಪುಸ್ತಕಗಳು ಒಂದು ಜಗತ್ತಿನಿಂದ ಮತ್ತೊಂದು ಜಗತ್ತಿಗೆ ಪ್ರಯಾಣಿಸಲು ನಿಮಗೆ ಅವಕಾಶ ನೀಡುತ್ತವೆ, ಅದನ್ನು ತೊರೆಯದೆ. "
6-6.pn.jpg," ಕೆ.ವಿ. ಪುಟ್ಟಣ್ಣ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಕಲ್ಪನೆಯನ್ನು ಉರಿದುಕೊಳ್ಳಲು ಮತ್ತು ನಿಮ್ಮ ಕನಸುಗಳನ್ನು ಹಾರಲು ಸ್ಪಂದನಶೀಲರನ್ನಾಗಿ ಮಾಡುತ್ತವೆ. 
7-19.pn.jpg," ಡಿ.ವಿ. ಗುಂಡಪ್ಪ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಜೀವನವನ್ನು ಹೊಸ ಕಣ್ಣುಗಳಿಂದ ನೋಡಲು ಮತ್ತು ನಿಮ್ಮ ಸುತ್ತಲಿನ ಪ್ರಪಂಚವನ್ನು ಉತ್ತಮವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತವೆ. 
8-7.pn.jpg," ಎಸ್‌. ಎಲ್‌.  ಭೈರಪ್ಪ
",ಪುಸ್ತಕಗಳು ಕಾಲದ ಗಡಿಗಳನ್ನು ಮೀರಿ ಜ್ಞಾನವನ್ನು ಒಂದು ತಲೆಮಾರಿನಿಂದ ಮತ್ತೊಂದು ತಲೆಮಾರಿಗೆ ಸಾಗಿಸುವ ಸೇತುವೆಗಳಾಗಿವೆ. 
9-17.pn.jpg," ಯು.ಆರ್. ಅನಂತಮೂರ್ತಿ
","ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಮನಸ್ಸಿಗೆ ಆಹಾರ, ನಿಮ್ಮ ಆತ್ಮಕ್ಕೆ ಪೋಷಣೆ ಮತ್ತು ನಿಮ್ಮ ಜೀವನಕ್ಕೆ ಬೆಳಕು ನೀಡುತ್ತವೆ. "
10-12.pn.jpg," ವಿ.ಕೃ.ಗೋಕಾಕ್
","ಪುಸ್ತಕಗಳು ನಿಮ್ಮನ್ನು ಒಬ್ಬ ಉತ್ತಮ ಓದುಗ, ಚಿಂತಕ ಮತ್ತು ಸೃಷ್ಟಿಕರ್ತನನ್ನಾಗಿ ಮಾಡಲು ಸಹಾಯ ಮಾಡುತ್ತವೆ. "
